Iter,MSE
0,0.0701654
1,0.0445057
2,0.0443333
3,0.0441572
4,0.043959
5,0.0437178
6,0.0434064
7,0.0429875
8,0.0424083
9,0.0415943
10,0.0404457
11,0.0388483
12,0.0367213
13,0.0341098
14,0.0312488
15,0.028476
16,0.0260505
17,0.0240706
18,0.0225168
19,0.0213201
20,0.0204037
21,0.0196994
22,0.019152
23,0.0187195
24,0.0183708
25,0.0180836
26,0.0178418
27,0.0176341
28,0.0174525
29,0.0172909
30,0.0171451
31,0.017012
32,0.0168893
33,0.0167751
34,0.0166681
35,0.0165673
36,0.0164719
37,0.0163812
38,0.0162947
39,0.016212
40,0.0161327
41,0.0160565
42,0.0159831
43,0.0159123
44,0.0158439
45,0.0157778
46,0.0157136
47,0.0156514
48,0.0155908
49,0.0155319
50,0.0154744
51,0.0154183
52,0.0153634
53,0.0153096
54,0.0152569
55,0.0152051
56,0.0151541
57,0.0151039
58,0.0150545
59,0.0150056
60,0.0149572
61,0.0149093
62,0.0148618
63,0.0148146
64,0.0147677
65,0.014721
66,0.0146744
67,0.0146279
68,0.0145814
69,0.0145348
70,0.0144881
71,0.0144413
72,0.0143942
73,0.0143468
74,0.0142991
75,0.014251
76,0.0142024
77,0.0141533
78,0.0141036
79,0.0140533
80,0.0140023
81,0.0139505
82,0.0138979
83,0.0138445
84,0.0137902
85,0.0137349
86,0.0136786
87,0.0136212
88,0.0135628
89,0.0135032
90,0.0134424
91,0.0133805
92,0.0133175
93,0.0132532
94,0.0131877
95,0.0131211
96,0.0130534
97,0.0129846
98,0.0129148
99,0.0128441
100,0.0127726
101,0.0127003
102,0.0126274
103,0.012554
104,0.0124804
105,0.0124065
106,0.0123327
107,0.012259
108,0.0121856
109,0.0121127
110,0.0120405
111,0.011969
112,0.0118983
113,0.0118287
114,0.0117603
115,0.011693
116,0.0116269
117,0.0115622
118,0.0114989
119,0.011437
120,0.0113765
121,0.0113173
122,0.0112596
123,0.0112033
124,0.0111484
125,0.0110948
126,0.0110426
127,0.0109916
128,0.0109419
129,0.0108934
130,0.010846
131,0.0107998
132,0.0107547
133,0.0107107
134,0.0106676
135,0.0106256
136,0.0105845
137,0.0105444
138,0.0105051
139,0.0104666
140,0.010429
141,0.0103922
142,0.0103562
143,0.0103209
144,0.0102863
145,0.0102524
146,0.0102191
147,0.0101865
148,0.0101546
149,0.0101232
150,0.0100924
151,0.0100622
152,0.0100325
153,0.0100034
154,0.00997476
155,0.00994663
156,0.00991898
157,0.0098918
158,0.00986508
159,0.00983881
160,0.00981296
161,0.00978754
162,0.00976252
163,0.0097379
164,0.00971367
165,0.00968982
166,0.00966633
167,0.00964321
168,0.00962043
169,0.009598
170,0.00957591
171,0.00955414
172,0.0095327
173,0.00951157
174,0.00949074
175,0.00947022
176,0.00945
177,0.00943006
178,0.00941041
179,0.00939104
180,0.00937195
181,0.00935312
182,0.00933456
183,0.00931626
184,0.00929822
185,0.00928043
186,0.00926288
187,0.00924559
188,0.00922853
189,0.00921171
190,0.00919512
191,0.00917877
192,0.00916264
193,0.00914673
194,0.00913105
195,0.00911558
196,0.00910033
197,0.00908528
198,0.00907045
199,0.00905582
200,0.00904139
201,0.00902716
202,0.00901313
203,0.00899929
204,0.00898565
205,0.00897219
206,0.00895891
207,0.00894582
208,0.00893291
209,0.00892018
210,0.00890762
211,0.00889523
212,0.00888301
213,0.00887096
214,0.00885907
215,0.00884735
216,0.00883578
217,0.00882437
218,0.00881312
219,0.00880201
220,0.00879106
221,0.00878025
222,0.00876958
223,0.00875906
224,0.00874867
225,0.00873843
226,0.00872831
227,0.00871833
228,0.00870848
229,0.00869876
230,0.00868916
231,0.00867968
232,0.00867032
233,0.00866109
234,0.00865197
235,0.00864296
236,0.00863406
237,0.00862528
238,0.0086166
239,0.00860803
240,0.00859956
241,0.0085912
242,0.00858293
243,0.00857476
244,0.00856669
245,0.00855872
246,0.00855083
247,0.00854304
248,0.00853533
249,0.00852772
250,0.00852019
251,0.00851274
252,0.00850538
253,0.00849809
254,0.00849089
255,0.00848376
256,0.00847672
257,0.00846974
258,0.00846284
259,0.00845601
260,0.00844926
261,0.00844257
262,0.00843595
263,0.0084294
264,0.00842291
265,0.00841649
266,0.00841013
267,0.00840384
268,0.0083976
269,0.00839143
270,0.00838532
271,0.00837926
272,0.00837326
273,0.00836732
274,0.00836143
275,0.00835559
276,0.00834981
277,0.00834408
278,0.0083384
279,0.00833277
280,0.0083272
281,0.00832167
282,0.00831619
283,0.00831075
284,0.00830536
285,0.00830002
286,0.00829472
287,0.00828947
288,0.00828426
289,0.00827909
290,0.00827397
291,0.00826888
292,0.00826384
293,0.00825884
294,0.00825388
295,0.00824895
296,0.00824406
297,0.00823922
298,0.0082344
299,0.00822963
300,0.00822489
301,0.00822019
302,0.00821552
303,0.00821088
304,0.00820628
305,0.00820172
306,0.00819718
307,0.00819268
308,0.00818821
309,0.00818378
310,0.00817937
311,0.00817499
312,0.00817065
313,0.00816633
314,0.00816205
315,0.00815779
316,0.00815356
317,0.00814936
318,0.00814519
319,0.00814104
320,0.00813693
321,0.00813283
322,0.00812877
323,0.00812473
324,0.00812072
325,0.00811673
326,0.00811277
327,0.00810883
